latest.student.size,tuition_in_state,latest.cost.tuition.out_of_state,median_debt,latest.aid.median_debt.noncompleters,latest.repayment.3_yr_repayment.overall,earnings_10yr,earnings_6yr,completion_rate,latest.academics.program_percentage.business_marketing,latest.academics.program_percentage.computer,latest.academics.program_percentage.health,latest.academics.program_percentage.social_science,latest.academics.program_percentage.humanities,school_name,state,school.school_url,school.institutional_characteristics.level,debt_to_earnings_ratio
163164,17200.0,17200.0,21082.0,6332.0,8183.0,50318.0,41945.0,0.4283,0.3446,0.1201,0.0799,0.0183,0.0919,Southern New Hampshire University,NH,www.snhu.edu/,1,0.5026105614495172
155088,8658.0,8658.0,11116.0,6812.0,17280.0,60615.0,69572.0,0.4618,0.247,0.2335,0.2871,0.0,0.0,Western Governors University,UT,www.wgu.edu/,1,0.15977692175012936
85991,9552.0,9552.0,31553.0,9178.0,278519.0,37752.0,35359.0,0.2084,0.5586,0.1095,0.1735,0.0,0.0,University of Phoenix-Arizona,AZ,https://www.phoenix.edu/,1,0.892361209310218
73371,17850.0,17850.0,22114.0,6533.0,28348.0,42186.0,47280.0,0.4346,0.2124,0.0296,0.3387,0.009,0.0,Grand Canyon University,AZ,www.gcu.edu/,1,0.4677241962774958
64674,12223.0,33139.0,19500.0,9132.0,25396.0,62668.0,52843.0,0.6804,0.2456,0.066,0.0724,0.0532,0.0052,Arizona State University Campus Immersion,AZ,www.asu.edu/,1,0.36901765607554454
59615,13154.0,40124.0,17804.0,7500.0,10651.0,72097.0,59386.0,0.8391,0.1396,0.039,0.0614,0.0591,0.0,Texas A&M University-College Station,TX,https://www.tamu.edu/,1,0.29980129996968985
59146,6368.0,22467.0,18190.0,10250.0,18092.0,58308.0,47137.0,0.7801,0.15,0.0557,0.1428,0.0457,0.0273,University of Central Florida,FL,https://www.ucf.edu/,1,0.3858964295563994
53782,,,19500.0,9132.0,25396.0,62668.0,52843.0,0.0,0.1556,0.0311,0.12,0.0855,0.0359,Arizona State University Digital Immersion,AZ,www.asu.edu/,1,0.36901765607554454
50012,22465.0,22465.0,24500.0,9500.0,33099.0,44813.0,39707.0,0.6533,0.1896,0.0242,0.0492,0.0164,0.0003,Liberty University,VA,https://www.liberty.edu/,1,0.6170196690759816
49664,8136.0,12336.0,21000.0,9500.0,11367.0,65287.0,58051.0,0.3333,0.2341,0.2905,0.0321,0.0257,0.2147,University of Maryland Global Campus,MD,www.umgc.edu/,1,0.3617508742312794
45638,13244.0,40022.0,19976.0,7000.0,18227.0,60409.0,51438.0,0.8772,0.2071,0.0116,0.1086,0.0748,0.0012,Ohio State University-Main Campus,OH,www.osu.edu/,1,0.3883510245343909
44503,9992.0,28794.0,19500.0,8250.0,8874.0,72424.0,60838.0,0.831,0.1565,0.1057,0.0464,0.0481,0.0075,Purdue University-Main Campus,IN,https://www.purdue.edu/,1,0.3205233571123311
42855,11688.0,44908.0,20500.0,11785.0,10767.0,75121.0,60896.0,0.889,0.0967,0.0727,0.0457,0.0714,0.0284,The University of Texas at Austin,TX,https://www.utexas.edu/,1,0.3366395165528113
42537,13926.0,42278.0,19620.0,8250.0,9016.0,59979.0,47665.0,0.6752,0.1507,0.054,0.0852,0.0478,0.0076,University of Arizona,AZ,https://www.arizona.edu/,1,0.41162278401342706
42284,20644.0,41790.0,25000.0,9500.0,31926.0,63435.0,55620.0,0.8609,0.1857,0.1195,0.0385,0.0645,0.0033,Pennsylvania State University-Main Campus,PA,https://www.psu.edu/,1,0.4494786048184106
41254,5808.0,17736.0,23833.0,8250.0,10094.0,57552.0,47863.0,0.522,0.1744,0.0977,0.0757,0.0406,0.0,Kennesaw State University,GA,www.kennesaw.edu/,1,0.4979420429141508
40922,16458.0,43842.0,23250.0,10000.0,11613.0,67253.0,55084.0,0.8072,0.1657,0.0453,0.0393,0.077,0.0033,Michigan State University,MI,https://www.msu.edu/,1,0.42208263742647595
40074,8400.0,8400.0,21743.0,7170.0,30783.0,44409.0,32917.0,0.5716,0.3048,0.0853,0.108,0.0139,0.1273,American Public University System,WV,https://www.apus.edu/,1,0.6605401464288969
39508,6565.0,18964.0,16500.0,10500.0,12595.0,60249.0,47768.0,0.7443,0.2331,0.0748,0.0524,0.0566,0.0339,Florida International University,FL,www.fiu.edu/,1,0.3454195277173003
38546,7470.0,20070.0,13750.0,8250.0,8597.0,62951.0,48558.0,0.7018,0.2393,0.0477,0.0821,0.0581,0.0163,California State University-Fullerton,CA,www.fullerton.edu/,1,0.2831665225091643
38380,9717.0,22547.0,18194.0,8838.0,11537.0,62377.0,52768.0,0.6456,0.2805,0.0987,0.0574,0.0518,0.0042,University of Houston,TX,www.uh.edu/,1,0.344792298362644
37806,12144.0,41891.0,19509.0,6887.0,9703.0,63742.0,53417.0,0.8021,0.1867,0.0335,0.02,0.0246,0.4559,Indiana University-Bloomington,IN,https://bloomington.iu.edu/,1,0.3652208098545407
37751,17929.0,37441.0,21500.0,10500.0,16360.0,74479.0,61263.0,0.8363,0.2099,0.1336,0.094,0.0639,0.0,Rutgers University-New Brunswick,NJ,https://newbrunswick.rutgers.edu/,1,0.35094592168192873
37207,6410.0,17324.0,17988.0,9284.0,14430.0,57743.0,48328.0,0.7676,0.1691,0.0582,0.1731,0.1143,0.0404,University of South Florida,FL,www.usf.edu/,1,0.3722065883131932
36902,11603.0,42103.0,20484.0,11233.0,7291.0,73792.0,61275.0,0.8955,0.1616,0.068,0.0565,0.085,0.0058,University of Wisconsin-Madison,WI,www.wisc.edu/,1,0.33429620563035495
36258,16004.0,35124.0,19500.0,7500.0,8547.0,81054.0,64802.0,0.8513,0.0967,0.0779,0.0424,0.0701,0.0006,University of Illinois Urbana-Champaign,IL,www.illinois.edu/,1,0.30091663837535876
36177,11450.0,22930.0,21000.0,7500.0,12377.0,56906.0,46716.0,0.5528,0.1603,0.049,0.0764,0.0457,0.0186,Texas State University,TX,https://www.txst.edu/,1,0.44952478808117136
35924,7350.0,19950.0,14289.0,8250.0,8942.0,64403.0,50062.0,0.6888,0.1591,0.0381,0.0685,0.0707,0.0333,California State University-Long Beach,CA,www.csulb.edu/,1,0.2854260716711278
35629,6381.0,28659.0,15000.0,9000.0,7773.0,71588.0,56398.0,0.9112,0.125,0.0457,0.0686,0.1025,0.0103,University of Florida,FL,https://www.ufl.edu/,1,0.2659668782580943
35377,8728.0,21328.0,15000.0,8500.0,7943.0,64909.0,52620.0,0.7643,0.2708,0.0254,0.0592,0.0769,0.0311,San Diego State University,CA,https://www.sdsu.edu/,1,0.28506271379703535
34948,16758.0,50958.0,15500.0,10924.0,8021.0,84943.0,65669.0,0.8605,0.0481,0.0727,0.0355,0.0944,0.0008,University of California-San Diego,CA,www.ucsd.edu/,1,0.23603222220530234
34341,11309.0,21149.0,19250.0,8250.0,13521.0,57010.0,46304.0,0.6071,0.1982,0.0622,0.0359,0.0335,0.0484,University of North Texas,TX,www.unt.edu/,1,0.4157308223911541
34177,17736.0,60946.0,19500.0,9110.0,6278.0,83648.0,73762.0,0.932,0.0776,0.1604,0.0429,0.124,0.0069,University of Michigan-Ann Arbor,MI,https://umich.edu/,1,0.26436376454000704
33475,15203.0,49403.0,14000.0,8804.0,7483.0,82511.0,59063.0,0.9262,0.0037,0.0367,0.0052,0.2438,0.0,University of California-Los Angeles,CA,www.ucla.edu/,1,0.2370350303912771
33227,12180.0,34172.0,22750.0,10250.0,7612.0,59221.0,52233.0,0.7337,0.2911,0.0163,0.092,0.09,0.0002,The University of Alabama,AL,www.ua.edu/,1,0.43554840809449963
33068,16347.0,50547.0,13000.0,8250.0,6414.0,92446.0,74919.0,0.9284,0.0462,0.1702,0.0185,0.1651,0.0,University of California-Berkeley,CA,www.berkeley.edu/,1,0.17352073572791948
32952,6688.0,6688.0,11069.0,6241.0,5682.0,75790.0,58450.0,0.8098,0.1511,0.0743,0.0607,0.0728,0.0037,Brigham Young University,UT,https://byu.edu/,1,0.18937553464499574
32691,7458.0,20058.0,13872.0,8235.0,9995.0,59115.0,44372.0,0.5695,0.1917,0.0423,0.0675,0.0887,0.0311,California State University-Northridge,CA,https://www.csun.edu/,1,0.31262958622554765
32394,11852.0,24451.0,21500.0,9000.0,9532.0,62454.0,52588.0,0.6869,0.219,0.0392,0.0048,0.0391,0.0296,Texas Tech University,TX,www.ttu.edu/,1,0.4088385182931467
32294,11950.0,29582.0,17527.0,7500.0,13125.0,63199.0,60902.0,0.5402,0.1518,0.0507,0.3639,0.0168,0.0321,The University of Texas at Arlington,TX,https://www.uta.edu/,1,0.28779022035401136
