region_name,state_name,year,month,date,avg_rent,avg_income_median,rent_to_income_pct,burden_category,data_points
"Washington, DC",VA,2026,4,2026-04-30,2374.541743372212,,,Affordable,1
"Raleigh, NC",NC,2026,4,2026-04-30,1674.325141846725,,,Affordable,1
"Tucson, AZ",AZ,2026,4,2026-04-30,1445.753368972046,,,Affordable,1
"Omaha, NE",NE,2026,4,2026-04-30,1431.4132611120976,,,Affordable,1
"Greensboro, NC",NC,2026,4,2026-04-30,1423.897848019967,,,Affordable,1
"Deltona, FL",FL,2026,4,2026-04-30,1781.5572942651752,,,Affordable,1
"Bend, OR",OR,2026,4,2026-04-30,2164.6130252100843,,,Affordable,1
"Punta Gorda, FL",FL,2026,4,2026-04-30,1919.6466727093516,,,Affordable,1
"Battle Creek, MI",MI,2026,4,2026-04-30,1163.8649237472766,,,Affordable,1
"Mansfield, OH",OH,2026,4,2026-04-30,904.7279761904762,,,Affordable,1
"Altoona, PA",PA,2026,4,2026-04-30,1019.8888888888888,,,Affordable,1
"St. Joseph, MO",MO,2026,4,2026-04-30,914.3833333333332,,,Affordable,1
"Bluefield, WV",VA,2026,4,2026-04-30,859.7916666666666,,,Affordable,1
"Hot Springs, AR",AR,2026,4,2026-04-30,1199.3055555555557,,,Affordable,1
"Paducah, KY",KY,2026,4,2026-04-30,1209.638888888889,,,Affordable,1
"Beaver Dam, WI",WI,2026,4,2026-04-30,1232.875,,,Affordable,1
"Helena, MT",MT,2026,4,2026-04-30,1675.580808080808,,,Affordable,1
"Plattsburgh, NY",NY,2026,4,2026-04-30,1300.0,,,Affordable,1
"Huntsville, TX",TX,2026,4,2026-04-30,1345.1525252525253,,,Affordable,1
"Jefferson, GA",GA,2026,4,2026-04-30,2033.1167312219943,,,Affordable,1
"St. Louis, MO",MO,2026,4,2026-04-30,1436.1095778368297,,,Affordable,1
"Elko, NV",NV,2026,4,2026-04-30,1660.95,,,Affordable,1
"Ponca City, OK",OK,2026,4,2026-04-30,836.2777777777778,,,Affordable,1
"St. Marys, PA",PA,2026,4,2026-04-30,900.0,,,Affordable,1
"Albert Lea, MN",MN,2026,4,2026-04-30,960.0,,,Affordable,1
"Las Vegas, NV",NV,2026,4,2026-04-30,1733.6222183048612,,,Affordable,1
"Santa Rosa, CA",CA,2026,4,2026-04-30,2615.1516723545587,,,Affordable,1
"Asheville, NC",NC,2026,4,2026-04-30,1725.6590473702545,,,Affordable,1
"Manchester, NH",NH,2026,4,2026-04-30,2119.409593682828,,,Affordable,1
"Columbus, GA",GA,2026,4,2026-04-30,1248.9042969671898,,,Affordable,1
"Fargo, ND",ND,2026,4,2026-04-30,1141.881184175302,,,Affordable,1
"Barnstable Town, MA",MA,2026,4,2026-04-30,2786.883333333333,,,Affordable,1
"Coeur d'Alene, ID",ID,2026,4,2026-04-30,1761.945123960135,,,Affordable,1
"Danville, VA",VA,2026,4,2026-04-30,1177.0648148148148,,,Affordable,1
"Charleston, SC",SC,2026,4,2026-04-30,2001.591054665083,,,Affordable,1
"Scranton, PA",PA,2026,4,2026-04-30,1339.172398902662,,,Affordable,1
"Vallejo, CA",CA,2026,4,2026-04-30,2385.0156737382545,,,Affordable,1
"Clarksburg, WV",WV,2026,4,2026-04-30,1050.7380952380952,,,Affordable,1
"North Wilkesboro, NC",NC,2026,4,2026-04-30,1275.0,,,Affordable,1
"Red Bluff, CA",CA,2026,4,2026-04-30,1573.625,,,Affordable,1
"Shelton, WA",WA,2026,4,2026-04-30,1700.809523809524,,,Affordable,1
"Scottsboro, AL",AL,2026,4,2026-04-30,1250.0,,,Affordable,1
"Ca-¦on City, CO",CO,2026,4,2026-04-30,1460.1851851851852,,,Affordable,1
"Ellensburg, WA",WA,2026,4,2026-04-30,1629.507326007326,,,Affordable,1
"McMinnville, TN",TN,2026,4,2026-04-30,961.9777777777776,,,Affordable,1
"La Grande, OR",OR,2026,4,2026-04-30,1222.111111111111,,,Affordable,1
"Altus, OK",OK,2026,4,2026-04-30,810.0,,,Affordable,1
"Shreveport, LA",LA,2026,4,2026-04-30,1336.6479763986088,,,Affordable,1
"Eugene, OR",OR,2026,4,2026-04-30,1786.3947436708347,,,Affordable,1
"Lake Havasu City, AZ",AZ,2026,4,2026-04-30,1504.0517361111113,,,Affordable,1
"Quincy, IL",IL,2026,4,2026-04-30,998.75,,,Affordable,1
"Mount Pleasant, MI",MI,2026,4,2026-04-30,1063.3333333333333,,,Affordable,1
"Lewiston, ID",ID,2026,4,2026-04-30,1235.5555555555557,,,Affordable,1
"Calhoun, GA",GA,2026,4,2026-04-30,1637.25,,,Affordable,1
"Danville, KY",KY,2026,4,2026-04-30,1363.3333333333333,,,Affordable,1
"Gloversville, NY",NY,2026,4,2026-04-30,1063.888888888889,,,Affordable,1
"Bartlesville, OK",OK,2026,4,2026-04-30,1158.7777777777776,,,Affordable,1
"New Castle, IN",IN,2026,4,2026-04-30,924.1666666666666,,,Affordable,1
"Cedartown, GA",GA,2026,4,2026-04-30,1197.5,,,Affordable,1
"Moscow, ID",ID,2026,4,2026-04-30,1176.548611111111,,,Affordable,1
"Berlin, NH",NH,2026,4,2026-04-30,1374.1666666666667,,,Affordable,1
"Hood River, OR",OR,2026,4,2026-04-30,3038.611111111111,,,Affordable,1
"Greenville, SC",SC,2026,4,2026-04-30,1548.9983916526182,,,Affordable,1
"Knoxville, TN",TN,2026,4,2026-04-30,1740.7060996371683,,,Affordable,1
"Poughkeepsie, NY",NY,2026,4,2026-04-30,2187.9335146822905,,,Affordable,1
"Lexington, KY",KY,2026,4,2026-04-30,1500.7967287882364,,,Affordable,1
"Kennewick, WA",WA,2026,4,2026-04-30,1693.935710629722,,,Affordable,1
"Kalamazoo, MI",MI,2026,4,2026-04-30,1293.8235104669886,,,Affordable,1
"Bellingham, WA",WA,2026,4,2026-04-30,2051.5188935723595,,,Affordable,1
"Torrington, CT",CT,2026,4,2026-04-30,1792.3416666666665,,,Affordable,1
"Abilene, TX",TX,2026,4,2026-04-30,1737.6441372247823,,,Affordable,1
"State College, PA",PA,2026,4,2026-04-30,1705.624374176548,,,Affordable,1
"Springfield, OH",OH,2026,4,2026-04-30,1179.6962962962962,,,Affordable,1
"Wenatchee, WA",WA,2026,4,2026-04-30,1820.388333333333,,,Affordable,1
"Muncie, IN",IN,2026,4,2026-04-30,966.0276755719084,,,Affordable,1
"Orangeburg, SC",SC,2026,4,2026-04-30,1333.8666666666666,,,Affordable,1
"Palatka, FL",FL,2026,4,2026-04-30,1320.3333333333333,,,Affordable,1
"Oneonta, NY",NY,2026,4,2026-04-30,1433.188888888889,,,Affordable,1
"Hannibal, MO",MO,2026,4,2026-04-30,1100.0,,,Affordable,1
"Gaffney, SC",SC,2026,4,2026-04-30,1018.1666666666666,,,Affordable,1
"Toledo, OH",OH,2026,4,2026-04-30,1255.5995527933972,,,Affordable,1
"Modesto, CA",CA,2026,4,2026-04-30,2028.009918164028,,,Affordable,1
"Jacksonville, FL",FL,2026,4,2026-04-30,1692.38269454904,,,Affordable,1
"Visalia, CA",CA,2026,4,2026-04-30,1732.8506054618229,,,Affordable,1
"Appleton, WI",WI,2026,4,2026-04-30,1226.937922705314,,,Affordable,1
"Champaign, IL",IL,2026,4,2026-04-30,1387.695066045066,,,Affordable,1
"Hilo, HI",HI,2026,4,2026-04-30,2932.8894736842103,,,Affordable,1
"Monroe, MI",MI,2026,4,2026-04-30,1335.35,,,Affordable,1
"Hammond, LA",LA,2026,4,2026-04-30,1329.3269927536232,,,Affordable,1
"Augusta, ME",ME,2026,4,2026-04-30,1475.5629877369008,,,Affordable,1
"Lumberton, NC",NC,2026,4,2026-04-30,1076.6666666666667,,,Affordable,1
"Sheboygan, WI",WI,2026,4,2026-04-30,1125.4809523809524,,,Affordable,1
"Zanesville, OH",OH,2026,4,2026-04-30,1034.1555555555556,,,Affordable,1
"Georgetown, SC",SC,2026,4,2026-04-30,1796.8222222222223,,,Affordable,1
"Enid, OK",OK,2026,4,2026-04-30,1151.898148148148,,,Affordable,1
"Gillette, WY",WY,2026,4,2026-04-30,1208.486111111111,,,Affordable,1
"Heber, UT",UT,2026,4,2026-04-30,3322.5480190307776,,,Affordable,1
"Sandusky, OH",OH,2026,4,2026-04-30,1482.2222222222224,,,Affordable,1
"Barre, VT",VT,2026,4,2026-04-30,1591.1111111111113,,,Affordable,1
"Fernley, NV",NV,2026,4,2026-04-30,1764.388888888889,,,Affordable,1
"North Platte, NE",NE,2026,4,2026-04-30,1015.5,,,Affordable,1
"Lincoln, NE",NE,2026,4,2026-04-30,1333.698228971012,,,Affordable,1
"Rockford, IL",IL,2026,4,2026-04-30,1278.1711211263669,,,Affordable,1
"Seattle, WA",WA,2026,4,2026-04-30,2207.724603059154,,,Affordable,1
