date,student_debt_billions,metric,delinquency_pct
2010-01-01,800069.82,outstanding,
2010-04-01,811148.76,outstanding,
2010-07-01,845804.79,outstanding,
2010-10-01,855483.43,outstanding,
2011-01-01,896848.43,outstanding,
2011-04-01,905157.15,outstanding,
2011-07-01,940339.02,outstanding,
2011-10-01,959823.95,outstanding,
2012-01-01,994279.74,outstanding,
2012-04-01,1011259.92,outstanding,
2012-07-01,1041034.04,outstanding,
2012-10-01,1054565.11,outstanding,
2013-01-01,1092013.85,outstanding,
2013-04-01,1099606.79,outstanding,
2013-07-01,1134180.98,outstanding,
2013-10-01,1145550.75,outstanding,
2014-01-01,1182061.19,outstanding,
2014-04-01,1190488.72,outstanding,
2014-07-01,1226394.05,outstanding,
2014-10-01,1235751.47,outstanding,
2015-01-01,1271844.96,outstanding,
2015-04-01,1278764.93,outstanding,
2015-07-01,1311766.42,outstanding,
2015-10-01,1320248.14,outstanding,
2016-01-01,1358137.44,outstanding,
2016-04-01,1365269.83,outstanding,
2016-07-01,1398573.2,outstanding,
2016-10-01,1405332.16,outstanding,
2017-01-01,1440358.58,outstanding,
2017-04-01,1446680.08,outstanding,
2017-07-01,1479029.56,outstanding,
2017-10-01,1488895.48,outstanding,
2018-01-01,1523343.76,outstanding,
2018-04-01,1530756.57,outstanding,
2018-07-01,1560681.65,outstanding,
2018-10-01,1566903.43,outstanding,
2019-01-01,1597654.09,outstanding,
2019-04-01,1603292.89,outstanding,
2019-07-01,1635131.96,outstanding,
2019-10-01,1637880.7,outstanding,
2020-01-01,1671968.77,outstanding,
2020-04-01,1672503.14,outstanding,
2020-07-01,1696474.62,outstanding,
2020-10-01,1693860.24,outstanding,
2021-01-01,1718706.56,outstanding,
2021-04-01,1719067.5,outstanding,
2021-07-01,1739443.83,outstanding,
2021-10-01,1733415.18,outstanding,
2022-01-01,1747455.51,outstanding,
2022-04-01,1744007.0,outstanding,
2022-07-01,1761742.0,outstanding,
2022-10-01,1764067.41,outstanding,
2023-01-01,1774909.9,outstanding,
2023-04-01,1761243.56,outstanding,
2023-07-01,1732575.34,outstanding,
2023-10-01,1729139.13,outstanding,
2024-01-01,1753333.67,outstanding,
2024-04-01,1741137.84,outstanding,
2024-07-01,1772891.41,outstanding,
2024-10-01,1777101.97,outstanding,
2010-01-01,,delinquency_rate,11.48
2010-04-01,,delinquency_rate,11.08
2010-07-01,,delinquency_rate,10.66
2010-10-01,,delinquency_rate,10.33
2011-01-01,,delinquency_rate,10.37
2011-04-01,,delinquency_rate,10.55
2011-07-01,,delinquency_rate,10.5
2011-10-01,,delinquency_rate,10.25
2012-01-01,,delinquency_rate,10.33
2012-04-01,,delinquency_rate,10.45
2012-07-01,,delinquency_rate,10.47
2012-10-01,,delinquency_rate,10.03
2013-01-01,,delinquency_rate,9.73
2013-04-01,,delinquency_rate,9.31
2013-07-01,,delinquency_rate,8.66
2013-10-01,,delinquency_rate,8.29
2014-01-01,,delinquency_rate,7.78
2014-04-01,,delinquency_rate,7.43
2014-07-01,,delinquency_rate,7.05
2014-10-01,,delinquency_rate,6.52
2015-01-01,,delinquency_rate,6.23
2015-04-01,,delinquency_rate,5.81
2015-07-01,,delinquency_rate,5.4
2015-10-01,,delinquency_rate,5.12
2016-01-01,,delinquency_rate,4.78
2016-04-01,,delinquency_rate,4.58
2016-07-01,,delinquency_rate,4.38
2016-10-01,,delinquency_rate,4.14
2017-01-01,,delinquency_rate,3.91
2017-04-01,,delinquency_rate,3.68
2017-07-01,,delinquency_rate,3.64
2017-10-01,,delinquency_rate,3.57
2018-01-01,,delinquency_rate,3.48
2018-04-01,,delinquency_rate,3.22
2018-07-01,,delinquency_rate,2.99
2018-10-01,,delinquency_rate,2.83
2019-01-01,,delinquency_rate,2.69
2019-04-01,,delinquency_rate,2.6
2019-07-01,,delinquency_rate,2.44
2019-10-01,,delinquency_rate,2.34
2020-01-01,,delinquency_rate,2.35
2020-04-01,,delinquency_rate,2.54
2020-07-01,,delinquency_rate,2.83
2020-10-01,,delinquency_rate,2.75
2021-01-01,,delinquency_rate,2.68
2021-04-01,,delinquency_rate,2.47
2021-07-01,,delinquency_rate,2.3
2021-10-01,,delinquency_rate,2.29
2022-01-01,,delinquency_rate,2.09
2022-04-01,,delinquency_rate,1.95
2022-07-01,,delinquency_rate,1.84
2022-10-01,,delinquency_rate,1.79
2023-01-01,,delinquency_rate,1.74
2023-04-01,,delinquency_rate,1.72
2023-07-01,,delinquency_rate,1.72
2023-10-01,,delinquency_rate,1.7
2024-01-01,,delinquency_rate,1.71
2024-04-01,,delinquency_rate,1.73
2024-07-01,,delinquency_rate,1.74
2024-10-01,,delinquency_rate,1.78
2025-01-01,,delinquency_rate,1.77
2025-04-01,,delinquency_rate,1.78
2025-07-01,,delinquency_rate,1.78
2025-10-01,,delinquency_rate,1.79
2026-01-01,,delinquency_rate,1.89
