date,unemployment_20_24,unemployment_25_34,unemployment_total,underemployment_u6,emp_pop_ratio_20_24,emp_pop_ratio_25_34,unemployment_20_24_yoy,unemployment_25_34_yoy,underemployment_u6_yoy,median_wage_20_24,median_wage_25_34,median_wage_all
2010-01-01,15.9,8.5,16.5,,59.7,76.2,,,,347.0,,1061.0
2010-02-01,15.8,8.8,16.1,,59.9,76.0,,,,,,
2010-03-01,15.8,8.6,16.8,,59.8,76.4,,,,,,
2010-04-01,17.2,8.2,16.6,,59.7,76.8,,,,340.0,,
2010-05-01,14.7,7.9,15.5,,60.9,76.8,,,,,,
2010-06-01,15.2,7.8,15.2,,60.5,76.7,,,,,,
2010-07-01,15.5,7.9,15.6,,60.5,76.4,,,,339.0,,
2010-08-01,14.7,7.7,15.9,,61.3,76.5,,,,,,
2010-09-01,14.8,8.3,16.0,,60.7,76.4,,,,,,
2010-10-01,15.3,7.8,15.6,,60.3,76.8,,,,344.0,,
2010-11-01,16.1,7.8,16.2,,60.2,76.5,,,,,,
2010-12-01,15.1,7.7,15.5,,60.1,76.5,,,,,,
2011-01-01,15.2,7.4,15.8,,60.8,76.5,-0.7000000000000011,-1.0999999999999996,,341.0,,701.0
2011-02-01,15.3,7.4,15.5,,60.6,76.7,-0.5,-1.4000000000000004,,,,
2011-03-01,15.0,7.2,15.8,,60.8,77.1,-0.8000000000000007,-1.3999999999999995,,,,
2011-04-01,14.9,7.4,16.5,,60.7,76.9,-2.299999999999999,-0.7999999999999989,,334.0,,
2011-05-01,14.8,7.5,16.3,,60.5,76.6,0.10000000000000142,-0.40000000000000036,,,,
2011-06-01,14.3,7.7,16.2,,60.4,76.5,-0.8999999999999986,-0.09999999999999964,,,,
2011-07-01,14.5,7.0,15.9,,60.2,76.7,-1.0,-0.9000000000000004,,332.0,,
2011-08-01,14.5,7.7,16.4,,60.7,76.1,-0.1999999999999993,0.0,,,,
2011-09-01,14.6,7.5,15.9,,61.0,76.3,-0.20000000000000107,-0.8000000000000007,,,,
2011-10-01,13.9,7.2,14.6,,62.0,76.4,-1.4000000000000004,-0.5999999999999996,,338.0,,
2011-11-01,14.3,7.0,15.6,,61.3,76.8,-1.8000000000000007,-0.7999999999999998,,,,
2011-12-01,14.3,6.8,15.4,,61.2,77.0,-0.7999999999999989,-0.9000000000000004,,,,
2012-01-01,13.3,6.8,13.6,,61.7,77.1,-1.8999999999999986,-0.6000000000000005,,337.0,,
2012-02-01,13.8,6.8,14.0,,61.7,77.2,-1.5,-0.6000000000000005,,,,
2012-03-01,13.0,6.4,14.0,,61.7,77.2,-2.0,-0.7999999999999998,,,,
2012-04-01,13.3,6.6,13.3,,61.4,77.0,-1.5999999999999996,-0.8000000000000007,,335.0,,
2012-05-01,13.0,6.7,13.5,,61.7,77.0,-1.8000000000000007,-0.7999999999999998,,,,
2012-06-01,13.6,7.0,14.5,,61.3,76.9,-0.7000000000000011,-0.7000000000000002,,,,
2012-07-01,13.4,6.7,14.2,,61.2,77.0,-1.0999999999999996,-0.2999999999999998,,329.0,,
2012-08-01,13.9,6.6,13.8,,60.2,77.2,-0.5999999999999996,-1.1000000000000005,,,,
2012-09-01,12.3,6.3,13.6,,61.8,77.3,-2.299999999999999,-1.2000000000000002,,,,
2012-10-01,13.1,6.2,14.1,,61.8,77.5,-0.8000000000000007,-1.0,,336.0,,
2012-11-01,12.9,6.2,13.3,,61.9,77.0,-1.4000000000000004,-0.7999999999999998,,,,
2012-12-01,13.8,6.6,14.0,,61.6,77.1,-0.5,-0.20000000000000018,,,,
2013-01-01,14.2,6.5,13.7,,61.2,76.7,0.8999999999999986,-0.2999999999999998,,334.0,,767.0
2013-02-01,12.9,6.2,13.8,,61.5,77.0,-0.9000000000000004,-0.5999999999999996,,,,
2013-03-01,13.1,6.1,13.0,,60.8,77.2,0.09999999999999964,-0.3000000000000007,,,,
2013-04-01,13.4,5.9,13.3,,61.7,77.3,0.09999999999999964,-0.6999999999999993,,333.0,,
2013-05-01,13.3,6.0,13.4,,60.9,77.5,0.3000000000000007,-0.7000000000000002,,,,
2013-06-01,13.5,5.9,14.2,,61.7,77.2,-0.09999999999999964,-1.0999999999999996,,,,
2013-07-01,12.4,5.9,12.6,,61.8,77.6,-1.0,-0.7999999999999998,,330.0,,
2013-08-01,13.2,5.6,12.8,,61.2,77.7,-0.7000000000000011,-1.0,,,,
2013-09-01,12.8,5.6,13.0,,62.2,77.7,0.5,-0.7000000000000002,,,,
2013-10-01,12.2,5.7,12.8,,61.9,77.2,-0.9000000000000004,-0.5,,337.0,,
2013-11-01,11.6,5.7,12.3,,62.2,77.5,-1.3000000000000007,-0.5,,,,
2013-12-01,10.8,5.4,11.9,,63.0,77.7,-3.0,-1.1999999999999993,,,,
2014-01-01,11.9,5.0,12.1,,62.2,78.3,-2.299999999999999,-1.5,,339.0,,904.0
2014-02-01,12.0,5.0,11.8,,61.9,78.4,-0.9000000000000004,-1.2000000000000002,,,,
2014-03-01,12.4,5.2,12.1,,62.9,78.3,-0.6999999999999993,-0.8999999999999995,,,,
2014-04-01,10.8,4.9,11.6,,62.9,78.2,-2.5999999999999996,-1.0,,328.0,,
2014-05-01,11.1,5.0,11.4,,63.0,78.0,-2.200000000000001,-1.0,,,,
2014-06-01,10.5,4.7,11.0,,62.9,78.2,-3.0,-1.2000000000000002,,,,
2014-07-01,11.0,4.8,11.6,,63.2,78.0,-1.4000000000000004,-1.1000000000000005,,332.0,,
2014-08-01,11.0,4.8,11.4,,62.5,78.2,-2.1999999999999993,-0.7999999999999998,,,,
2014-09-01,11.6,4.4,11.0,,62.8,78.4,-1.200000000000001,-1.1999999999999993,,,,
2014-10-01,10.3,4.4,10.6,,64.2,78.3,-1.8999999999999986,-1.2999999999999998,,338.0,,
2014-11-01,10.8,4.4,10.9,,63.6,78.4,-0.7999999999999989,-1.2999999999999998,,,,
2014-12-01,10.5,4.3,10.6,,63.0,78.4,-0.3000000000000007,-1.1000000000000005,,,,
2015-01-01,9.6,4.4,10.3,,63.5,78.5,-2.3000000000000007,-0.5999999999999996,,344.0,,892.0
2015-02-01,10.0,4.4,10.1,,63.8,78.3,-2.0,-0.5999999999999996,,,,
2015-03-01,10.7,4.1,9.9,,62.3,78.5,-1.700000000000001,-1.1000000000000005,,,,
2015-04-01,9.7,4.3,9.7,,62.8,78.4,-1.1000000000000014,-0.6000000000000005,,337.0,,
