date,real_median_household_income,median_home_price,median_weekly_earnings,year,cohort_label,home_price_to_income
2010-01-01,68420.0,222900.0,344.0,2010,Millennials at 25,3.26
2010-04-01,,219500.0,342.0,2010,Millennials at 25,
2010-07-01,,224100.0,342.0,2010,Millennials at 25,
2010-10-01,,224300.0,341.0,2010,Millennials at 25,
2011-01-01,67410.0,226900.0,338.0,2011,Millennials at 25,3.37
2011-04-01,,228100.0,336.0,2011,Millennials at 25,
2011-07-01,,223500.0,336.0,2011,Millennials at 25,
2011-10-01,,221100.0,335.0,2011,Millennials at 25,
2012-01-01,67400.0,238400.0,335.0,2012,Millennials at 25,3.54
2012-04-01,,238700.0,337.0,2012,Millennials at 25,
2012-07-01,,248800.0,333.0,2012,Millennials at 25,
2012-10-01,,251700.0,333.0,2012,Millennials at 25,
2013-01-01,69950.0,258400.0,331.0,2013,Transition,3.69
2013-04-01,,268100.0,335.0,2013,Transition,
2013-07-01,,264800.0,334.0,2013,Transition,
2013-10-01,,273600.0,334.0,2013,Transition,
2014-01-01,69060.0,275200.0,335.0,2014,Transition,3.98
2014-04-01,,288000.0,330.0,2014,Transition,
2014-07-01,,281000.0,336.0,2014,Transition,
2014-10-01,,298900.0,336.0,2014,Transition,
2015-01-01,72790.0,289200.0,341.0,2015,Transition,3.97
2015-04-01,,289100.0,339.0,2015,Transition,
2015-07-01,,295800.0,340.0,2015,Transition,
2015-10-01,,302500.0,345.0,2015,Transition,
2016-01-01,75380.0,299800.0,346.0,2016,Transition,3.98
2016-04-01,,306000.0,345.0,2016,Transition,
2016-07-01,,303800.0,347.0,2016,Transition,
2016-10-01,,310900.0,349.0,2016,Transition,
2017-01-01,76710.0,313100.0,352.0,2017,Transition,4.08
2017-04-01,,318200.0,354.0,2017,Transition,
2017-07-01,,320500.0,352.0,2017,Transition,
2017-10-01,,337900.0,345.0,2017,Transition,
2018-01-01,77700.0,331800.0,351.0,2018,Transition,4.27
2018-04-01,,315600.0,351.0,2018,Transition,
2018-07-01,,330900.0,354.0,2018,Transition,
2018-10-01,,322800.0,355.0,2018,Transition,
2019-01-01,83260.0,313000.0,355.0,2019,Gen Z at 25,3.76
2019-04-01,,322500.0,358.0,2019,Gen Z at 25,
2019-07-01,,318400.0,360.0,2019,Gen Z at 25,
2019-10-01,,327100.0,362.0,2019,Gen Z at 25,
2020-01-01,81580.0,329000.0,367.0,2020,Gen Z at 25,4.03
2020-04-01,,317100.0,393.0,2020,Gen Z at 25,
2020-07-01,,327900.0,384.0,2020,Gen Z at 25,
2020-10-01,,338600.0,376.0,2020,Gen Z at 25,
2021-01-01,81270.0,355000.0,373.0,2021,Gen Z at 25,4.37
2021-04-01,,367800.0,371.0,2021,Gen Z at 25,
2021-07-01,,395200.0,367.0,2021,Gen Z at 25,
2021-10-01,,414000.0,361.0,2021,Gen Z at 25,
2022-01-01,79500.0,413500.0,363.0,2022,Gen Z at 25,5.2
2022-04-01,,437700.0,359.0,2022,Gen Z at 25,
2022-07-01,,438000.0,362.0,2022,Gen Z at 25,
2022-10-01,,442600.0,362.0,2022,Gen Z at 25,
2023-01-01,82690.0,429000.0,364.0,2023,Gen Z at 25,5.19
2023-04-01,,418500.0,365.0,2023,Gen Z at 25,
2023-07-01,,435400.0,366.0,2023,Gen Z at 25,
2023-10-01,,423200.0,369.0,2023,Gen Z at 25,
2024-01-01,83730.0,426800.0,365.0,2024,Gen Z at 25,5.1
2024-04-01,,414500.0,368.0,2024,Gen Z at 25,
2024-07-01,,415300.0,371.0,2024,Gen Z at 25,
2024-10-01,,419300.0,374.0,2024,Gen Z at 25,
2025-01-01,,423100.0,373.0,2025,Gen Z at 25,
2025-04-01,,416100.0,376.0,2025,Gen Z at 25,
2025-07-01,,410100.0,376.0,2025,Gen Z at 25,
2025-10-01,,412300.0,,2025,Gen Z at 25,
2026-01-01,,403200.0,376.0,2026,Gen Z at 25,
