date,median_home_price,rent_cpi,annual_wage,months_to_down_payment
2010-01-01,222900.0,248.721,55172.0,97.0
2010-02-01,,248.717,,
2010-03-01,,248.854,,
2010-04-01,219500.0,248.962,,
2010-05-01,,249.066,,
2010-06-01,,249.327,,
2010-07-01,224100.0,249.458,,
2010-08-01,,249.346,,
2010-09-01,,249.663,,
2010-10-01,224300.0,249.66,,
2010-11-01,,250.182,,
2010-12-01,,250.641,,
2011-01-01,226900.0,251.142,36452.0,149.4
2011-02-01,,251.516,,
2011-03-01,,251.905,,
2011-04-01,228100.0,252.203,,
2011-05-01,,252.584,,
2011-06-01,,252.986,,
2011-07-01,223500.0,253.423,,
2011-08-01,,254.295,,
2011-09-01,,254.895,,
2011-10-01,221100.0,255.651,,
2011-11-01,,256.207,,
2011-12-01,,256.8,,
2012-01-01,238400.0,257.267,,
2012-02-01,,257.842,,
2012-03-01,,258.335,,
2012-04-01,238700.0,258.977,,
2012-05-01,,259.481,,
2012-06-01,,259.893,,
2012-07-01,248800.0,260.476,,
2012-08-01,,260.999,,
2012-09-01,,261.62,,
2012-10-01,251700.0,262.631,,
2012-11-01,,263.137,,
2012-12-01,,263.669,,
2013-01-01,258400.0,264.245,39884.0,155.5
2013-02-01,,264.904,,
2013-03-01,,265.603,,
2013-04-01,268100.0,266.094,,
2013-05-01,,266.841,,
2013-06-01,,267.451,,
2013-07-01,264800.0,267.87,,
2013-08-01,,268.837,,
2013-09-01,,269.315,,
2013-10-01,273600.0,269.822,,
2013-11-01,,270.387,,
2013-12-01,,271.22,,
2014-01-01,275200.0,271.918,47008.0,140.5
2014-02-01,,272.461,,
2014-03-01,,273.341,,
2014-04-01,288000.0,274.255,,
2014-05-01,,275.013,,
2014-06-01,,275.819,,
2014-07-01,281000.0,276.663,,
2014-08-01,,277.319,,
2014-09-01,,278.149,,
2014-10-01,298900.0,278.797,,
2014-11-01,,279.758,,
2014-12-01,,280.383,,
2015-01-01,289200.0,281.223,46384.0,149.6
2015-02-01,,282.171,,
2015-03-01,,283.056,,
2015-04-01,289100.0,283.786,,
2015-05-01,,284.559,,
2015-06-01,,285.477,,
2015-07-01,295800.0,286.435,,
2015-08-01,,287.32,,
2015-09-01,,288.385,,
2015-10-01,302500.0,289.236,,
2015-11-01,,289.953,,
2015-12-01,,290.723,,
2016-01-01,299800.0,291.7,54548.0,131.9
2016-02-01,,292.617,,
2016-03-01,,293.471,,
2016-04-01,306000.0,294.397,,
2016-05-01,,295.371,,
2016-06-01,,296.306,,
2016-07-01,303800.0,297.192,,
2016-08-01,,298.029,,
2016-09-01,,299.035,,
2016-10-01,310900.0,300.215,,
2016-11-01,,301.223,,
2016-12-01,,302.271,,
2017-01-01,313100.0,303.156,41132.0,182.7
2017-02-01,,304.06,,
2017-03-01,,304.888,,
2017-04-01,318200.0,305.692,,
2017-05-01,,306.72,,
2017-06-01,,307.681,,
2017-07-01,320500.0,308.49,,
2017-08-01,,309.608,,
2017-09-01,,310.346,,
2017-10-01,337900.0,311.33,,
2017-11-01,,312.295,,
2017-12-01,,313.462,,
2018-01-01,331800.0,314.531,53456.0,149.0
2018-02-01,,315.162,,
2018-03-01,,315.885,,
2018-04-01,315600.0,316.96,,
2018-05-01,,317.766,,
2018-06-01,,318.607,,
2018-07-01,330900.0,319.642,,
2018-08-01,,320.86,,
2018-09-01,,321.563,,
2018-10-01,322800.0,322.447,,
2018-11-01,,323.633,,
2018-12-01,,324.408,,
2019-01-01,313000.0,325.314,,
2019-02-01,,326.22,,
2019-03-01,,327.539,,
2019-04-01,322500.0,328.816,,
2019-05-01,,329.617,,
2019-06-01,,330.919,,
2019-07-01,318400.0,331.935,,
2019-08-01,,332.781,,
2019-09-01,,333.92,,
2019-10-01,327100.0,334.558,,
2019-11-01,,335.484,,
