source,title,company,sector,location,work_type,salary_min,salary_max,is_entry_level,degree_requirement,posted_at,tags
remotive,Data Labeling Specialists,Workada,Technology,Remote,remote,37440.0,45760.0,False,unspecified,2026-05-27,"research, digital content, spreadsheets"
remotive,Staff Product Engineer (Campinas),LawnStarter,Technology,Remote,remote,80000.0,100000.0,False,unspecified,2026-05-26,"AWS, backend, frontend, php, react"
remotive,Staff Product Engineer (São Paulo),LawnStarter,Technology,Remote,remote,80000.0,100000.0,False,unspecified,2026-05-21,"AWS, backend, frontend, php, react"
remotive,Mid/Senior AI Cinematic Video Editor,EverAI,Technology,Remote,remote,41600.0,,False,unspecified,2026-05-19,"excel, video, AI/ML, customer acquisition, graphic design"
remotive,Paid Media Specialist,Noventra Group Europe,Technology,Remote,remote,65000.0,85000.0,False,unspecified,2026-05-18,"ecommerce, research, advertising, retail, A/B Testing"
remotive,Senior Independent Software Developer,A.Team,Technology,Remote,remote,187200.0,312000.0,False,unspecified,2026-05-16,"go, wordpress, chat, apple, testing"
remotive,Senior Independent AI Engineer / Architect,A.Team,Technology,Remote,remote,249600.0,353600.0,False,unspecified,2026-05-16,"go, UI/UX, wordpress, chat, apple"
remotive,Senior Full-stack React Developer,Lemon.io,Technology,Remote,remote,22880.0,,False,unspecified,2026-05-15,".Net, android, AWS, azure, backend"
remotive,Tech Lead Full-Stack Rails Engineer,Mitre Media,Technology,Remote,remote,170000.0,200000.0,False,unspecified,2026-05-14,"api, CSS, docker, elasticsearch, fullstack"
remotive,Business Transformation Lead,Expion Health,Technology,Remote,remote,175000.0,225000.0,False,unspecified,2026-05-13,"api, AI/ML, automation, healthcare, spark"
remotive,Office Assistant,Coalition Technologies ,Technology,Remote,remote,312000.0,52000.0,True,unspecified,2026-05-11,"CSS, excel, frontend, git, html"
remotive,Director of Revenue Systems and AI Automation (Offshore) ,Caul Group,Technology,Remote,remote,6072.0,,False,unspecified,2026-05-11,"api, AI/ML, automation, documentation, CRM"
remotive,iOS Developer,nooro,Technology,Remote,remote,60000.0,130000.0,False,unspecified,2026-05-09,"api, backend, git, ios, security"
remotive,Inside Sales Contractor,"Credit Wellness, LLC",Technology,Remote,remote,25000.0,35000.0,False,unspecified,2026-05-08,"CRM, google sheets, financial services, Inside Sales"
remotive,Freelance Writer,IAPWE,Healthcare,Remote,remote,104000.0,156000.0,False,unspecified,2026-05-04,REST
remotive,Copywriter,Coalition Technologies ,Technology,Remote,remote,20000.0,35000.0,False,unspecified,2026-05-02,"accounting, excel, research, data analysis, bookkeeping"
remotive,Senior DevOps Engineer,Lemon.io,Technology,Remote,remote,22880.0,,False,unspecified,2026-04-30,".Net, android, AWS, azure, C"
arbeitnow,Data Analyst,SumUp,Technology,"Cologne, North Rhine-Westphalia, Germany",unspecified,,,False,unspecified,,
arbeitnow,iOS Engineer - Design System,SumUp,Technology,"Berlin, Germany",unspecified,,,False,unspecified,,
arbeitnow,Senior Android Engineer - Mobile Platform,SumUp,Technology,"Berlin, Berlin, Germany",unspecified,,,False,unspecified,,
arbeitnow,Senior Account Manager (m/w/d),Wolt - English,Technology,"Stuttgart, Baden-Württemberg, Germany",unspecified,,,False,unspecified,,
arbeitnow,Entwicklung einer Brand- und Kommunikationsstrategie für das Rebranding einer B2B-Software im Nonprofit-Sektor.,Linear Service GmbH,Technology,Berlin,remote,,,False,unspecified,,"Remote, Strategic Marketing"
arbeitnow,Senior Product Manager/in (100% Remote),BlickSolutions GmbH,Technology,Frankfurt am Main,remote,,,False,unspecified,,"Remote, Product Management"
arbeitnow,Elektriker:in (m/w/d) für Anlagen- und Gebäudetechnik,JobRad Loop,Technology,Kabelsketal,unspecified,,,False,unspecified,,Engineering
arbeitnow,"Steuerberater (m/w/d) in Flein, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",Taxtalente.de,Other,Flein,unspecified,,,False,unspecified,,"Directors, Chief Executives"
arbeitnow,"Steuerberater (m/w/d) in Reinsdorf, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",Taxtalente.de,Other,Reinsdorf,unspecified,,,False,unspecified,,"Directors, Chief Executives"
arbeitnow,"Steuerberater (m/w/d) in Bredenbek, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",Taxtalente.de,Other,Bredenbek,unspecified,,,False,unspecified,,"Directors, Chief Executives"
arbeitnow,"Steuerberater (m/w/d) in Schopp, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",Taxtalente.de,Other,Schopp,unspecified,,,False,unspecified,,"Directors, Chief Executives"
arbeitnow,"Steuerberater (m/w/d) in Neubiberg, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",Taxtalente.de,Other,Neubiberg,unspecified,,,False,unspecified,,"Directors, Chief Executives"
