date,cost_burden_score,employment_score,wage_score,debt_score,survival_score,category,year
2015-01-01,,18.935483870967758,47.376792398002586,100.0,48.7,Living 🟡,2015
2015-02-01,,16.999999999999993,51.76205969816904,99.54346864644853,33.6,Living 🟡,2015
2015-03-01,,24.935483870967772,56.14732699833549,99.08693729289708,37.0,Living 🟡,2015
2015-04-01,,19.967741935483957,60.53259429850194,98.63040593934561,53.5,Living 🟡,2015
2015-05-01,,15.96774193548395,64.9178615986684,96.45319781576774,33.2,Living 🟡,2015
2015-06-01,,30.80645161290329,69.30312889883484,94.27598969218987,39.4,Living 🟡,2015
2015-07-01,,26.870967741935534,73.68839619900129,92.098781568612,54.7,Living 🟡,2015
2015-08-01,,35.77419354838711,78.07366349916775,91.53921684332497,41.5,Living 🟡,2015
2015-09-01,,30.80645161290329,82.4589307993342,90.97965211803792,39.4,Living 🟡,2015
2015-10-01,,29.774193548387114,86.84419809950066,90.42008739275089,55.5,Living 🟡,2015
2015-11-01,,30.80645161290329,91.2294653996671,87.92041565802984,39.4,Living 🟡,2015
2015-12-01,,33.70967741935487,95.61473269983355,85.42074392330879,40.6,Living 🟡,2015
2016-01-01,,35.70967741935487,100.0,82.92107218858774,68.9,Thriving 🟢,2016
2016-02-01,,40.67741935483868,91.66666666666667,82.45052684507368,43.5,Living 🟡,2016
2016-03-01,,40.612903225806456,83.33333333333333,81.97998150155962,43.5,Living 🟡,2016
2016-04-01,,30.741935483870925,75.0,81.50943615804556,53.7,Living 🟡,2016
2016-05-01,,44.61290322580645,66.66666666666666,79.31231209769194,45.2,Living 🟡,2016
2016-06-01,,38.67741935483869,58.33333333333333,77.11518803733833,42.7,Living 🟡,2016
2016-07-01,,48.61290322580645,50.0,74.91806397698471,59.5,Living 🟡,2016
2016-08-01,,30.80645161290329,41.666666666666664,74.4721549401825,39.4,Living 🟡,2016
2016-09-01,,29.70967741935486,33.33333333333333,74.02624590338029,38.9,Living 🟡,2016
2016-10-01,,35.70967741935487,25.0,73.58033686657808,53.8,Living 🟡,2016
2016-11-01,,44.61290322580645,16.666666666666657,71.26953798556238,45.2,Living 🟡,2016
2016-12-01,,32.74193548387092,8.333333333333329,68.95873910454668,40.2,Living 🟡,2016
2017-01-01,,34.67741935483868,0.0,66.64794022353098,31.1,Barely Surviving 🔴,2017
2017-02-01,,33.64516129032264,6.311537910931178,66.23089174622896,40.6,Living 🟡,2017
